,proxy_chl,proxy_chl,proxy_chl,proxy_chl,proxy_chl,proxy_chl,proxy_cs,proxy_cs,proxy_cs,proxy_cs,proxy_cs,proxy_cs,proxy_amihud,proxy_amihud,proxy_amihud,proxy_amihud,proxy_amihud,proxy_amihud,proxy_roll,proxy_roll,proxy_roll,proxy_roll,proxy_roll,proxy_roll
,count,median,mean,std,min,max,count,median,mean,std,min,max,count,median,mean,std,min,max,count,median,mean,std,min,max
venue,,,,,,,,,,,,,,,,,,,,,,,,
okx,1269,0.0016388798817759474,0.005752006217770713,0.00850663558469008,5.563866342859816e-07,0.048982901645757145,2190,0.007865499999329567,0.08945214797455499,0.13890356307596924,0.0003410973107655683,1.427900144394803,2190,9.516965817563507e-11,3.5228425423922496e-10,1.0589263640354477e-09,0.0,1.962563607582108e-08,1908,0.0004843151220409521,0.009894142820472455,0.01985316996362538,4.473589807844087e-07,0.14082828251025295
coinbase,1940,0.013641278308421956,0.015552007518797869,0.009548076222622352,0.00022842592722285902,0.05359898850660101,4264,0.18776329960897487,0.2208876607819,0.14280281234394157,0.022898538892585505,1.895810537568697,4264,9.424495203889312e-09,0.000967414621401998,0.005216688136664137,0.0,0.11374028808658912,2651,0.027684638424496383,0.032128879240092736,0.02174946035220732,0.00023176478145373763,0.18724700691420765
binance,4901,0.0141023905274033,0.016355502863782154,0.012091572826749868,1.54448035457306e-07,0.10598374080631132,9363,0.1903960049962289,0.22077477324965897,0.15434405506559276,0.0003413701476840312,1.919428951924148,9363,4.3998935975991124e-05,0.00036315565072507836,0.001238017706474464,0.0,0.04990758847571857,5902,0.026320628622005127,0.029636478164576433,0.022495922236247343,1.1833853240622246e-06,0.19832980508223616
