,count,median,mean,std,min,max
eth_median_base_fee_gwei,45905.0,28.941586906795884,44.0407341703286,37.583219838574884,4.11211512930321,201.93836737356247
eth_median_priority_fee_gwei,45905.0,1.9161269749897143,2.2360971551624167,1.2707442135261182,0.6676987162071693,10.990049760895769
eth_median_effective_gas_price_gwei,55804.0,34.113194120446174,52.228129747527916,45.44906636818622,5.834901535076785,306.84257206483574
eth_median_total_fee_gwei,45905.0,33.22703599647968,49.493969822136684,40.983233643437906,5.834901535076785,206.27615362094397
eth_n_blocks_with_basefee,55804.0,1110579.0,937578.7201275894,447091.21379643294,0.0,1932711.0
eth_n_blocks,55804.0,6331.0,6446.586642534586,436.7499564847438,5152.0,7177.0
eth_n_txs,55804.0,1159942.0,1167617.0737760733,128715.73310168796,742785.0,1932711.0
